layer,index,active_frequency,mean_activation,max_activation,outgoing_abs_sum,activation_score
H2,11,0.6442791511704222,0.20393143594264984,3.159012794494629,4.73958683013916,0.9665507674217224
H2,12,1.0,3.165473699569702,8.927813529968262,2.0014243125915527,6.335455894470215
H2,13,0.8851192299278058,0.38376402854919434,3.5089542865753174,3.654223680496216,1.4023596048355103
H2,14,0.9132531174797637,0.35565805435180664,3.6503500938415527,4.793540000915527,1.7048611640930176
H2,15,0.6746269962809013,0.33623337745666504,4.599793434143066,5.3578200340271,1.8014779090881348
H2,16,0.0,0.0,0.0,0.008749403990805149,0.0
H2,17,1.0,3.2034590244293213,8.701937675476074,2.263956308364868,7.252491474151611
H2,18,0.6463005906803763,0.23023894429206848,3.12882661819458,4.475006103515625,1.030320644378662
H2,19,1.0,3.7298145294189453,10.621553421020508,1.799594759941101,6.712154865264893
H2,20,0.803360315029534,0.17571482062339783,1.673541784286499,4.14314079284668,0.7280112504959106
H2,21,0.4733931306059943,0.30844277143478394,4.031325817108154,5.690061569213867,1.7550584077835083
H2,22,0.8712054255086414,0.362811416387558,2.0198378562927246,3.956529140472412,1.435473918914795
H2,23,0.0,0.0,0.0,0.006734905298799276,0.0
H2,24,0.9215051411069788,0.3952254056930542,3.5558738708496094,3.7112364768981934,1.4667749404907227
H2,25,0.9359439947495077,0.34242793917655945,2.9173357486724854,4.456266403198242,1.5259500741958618
H2,26,1.0,3.5093305110931396,9.623220443725586,2.0257959365844727,7.109187602996826
H2,27,0.8861343250929775,0.34066957235336304,3.361388683319092,3.6522397994995117,1.2442070245742798
H2,28,0.9707547582585867,0.828511118888855,3.830749273300171,3.6238484382629395,3.002398729324341
H2,29,0.9008532049879676,0.8064062595367432,7.524104595184326,4.168691635131836,3.361659049987793
H2,30,1.0,4.130124092102051,11.20263957977295,1.7045083045959473,7.039830684661865
H2,31,0.27130168453292497,0.1853700578212738,7.712244987487793,12.367066383361816,2.2924838066101074
H2,32,0.0,0.0,0.0,0.002718206960707903,0.0
H2,33,0.027906366221833297,0.022174185141921043,5.323391437530518,10.879180908203125,0.24123696982860565
H2,34,0.7125618026690003,0.4672395586967468,4.432589530944824,4.430924415588379,2.070303201675415
H2,35,1.0,3.5402698516845703,9.80160903930664,1.6145799160003662,5.716048717498779
H2,36,0.9334762633996937,0.3256895840167999,5.047690391540527,5.073975086212158,1.6525408029556274
H2,37,1.0,3.428983211517334,9.807317733764648,1.810737133026123,6.208987236022949
H2,38,0.5064887333187487,0.23536257445812225,4.72623348236084,7.327183723449707,1.724544882774353
H2,39,0.30598993655655216,0.13312548398971558,5.668319225311279,11.645584106445312,1.5503239631652832
H2,40,0.7162721505141108,0.34042254090309143,2.655093193054199,3.4767236709594727,1.1835551261901855
H2,41,0.0,0.0,0.0,0.008657312020659447,0.0
H2,42,0.9722949026471231,0.5239845514297485,4.675983428955078,4.137850284576416,2.1681697368621826
H2,43,1.0,3.615201711654663,10.80523681640625,4.834778785705566,17.478700637817383
H2,44,1.0,2.584686040878296,8.034461975097656,3.2459659576416016,8.389802932739258
H2,45,0.7669394005688033,0.19383679330348969,3.682818651199341,5.725895881652832,1.109889268875122
H2,46,0.0,0.0,0.0,0.009201284497976303,0.0
H2,47,0.6003850360971341,0.2984076142311096,5.027273654937744,4.6286163330078125,1.3812143802642822
H2,48,1.0,3.0398881435394287,9.310257911682129,3.210059642791748,9.758222579956055
H2,49,0.7611463574710129,1.2973594665527344,11.623498916625977,7.516729354858398,9.751899719238281
H2,50,0.7562546488733318,0.5349445343017578,6.2288947105407715,4.628817081451416,2.4761602878570557
H2,51,0.38237584773572525,0.1025550365447998,3.3802387714385986,11.034059524536133,1.1315983533859253
